PLAYER_NAME,POINT_PER_GAME,ASSIST_PER_GAME
dwight-buycks,6.30,1.70
matas-buzelis,8.60,1.00
derrick-byars,5.00,0.50
andrew-bynum,11.50,1.20
will-bynum,8.10,3.30
marty-byrnes,5.70,1.60
tommy-byrnes,6.50,1.20
mike-bytzura,3.50,0.50
zarko-cabarkapa,4.30,0.60
barney-cable,6.60,1.00
bruno-caboclo,4.20,0.70
devontae-cacok,2.50,0.20
jason-caffey,7.30,0.90
michael-cage,7.30,0.90
jamal-cain,5.30,0.60
gerry-calabrese,4.70,1.40
nick-calathes,4.60,2.70
jose-calderon,8.90,5.80
adrian-caldwell,2.00,0.20
jim-caldwell,0.00,0.50
joe-caldwell,15.20,2.70
kentavious-caldwell-pope,8.70,1.80
bill-calhoun,7.80,2.30
corky-calhoun,5.30,1.10
demetrius-calip,1.60,1.70
tom-callahan,1.30,0.30
rick-calloway,3.20,1.00
ernie-calverley,11.90,3.50
mack-calvin,7.00,2.50
toumani-camara,11.30,2.20
dexter-cambridge,7.00,1.10
marcus-camby,9.50,1.90
facundo-campazzo,5.30,3.30
elden-campbell,10.30,1.10
tony-campbell,11.60,1.50
isaiah-canaan,8.10,1.90
devin-cannady,6.50,0.80
larry-cannon,6.20,2.70
clint-capela,8.90,1.10
derrick-caracter,2.00,0.20
brian-cardinal,4.60,1.00
vernon-carey-jr,1.90,0.10
howie-carl,5.50,1.80
chet-carlisle,5.00,0.30
geno-carlisle,1.30,0.20
rick-carlisle,2.20,1.10
al-carlson,2.60,0.50
branden-carlson,3.80,0.40
don-carlson,8.00,1.80
bob-carney,3.60,0.80
rodney-carney,5.90,0.40
bob-carpenter,7.70,1.40
antoine-carr,9.30,1.10
austin-carr,15.40,2.80
chris-carr,6.70,1.00
cory-carr,4.10,1.60
kenny-carr,11.60,1.40
ml-carr,9.70,1.80
bob-carrington,8.20,1.50
bub-carrington,9.80,4.40
demarre-carroll,8.90,1.30
joe-barry-carroll,17.70,1.80
matt-carroll,6.60,0.70
jimmy-carruth,1.30,0.00
anthony-carter,4.80,3.80
butch-carter,8.70,1.90
devin-carter,3.80,1.10
fred-carter,15.20,3.50
george-carter,3.00,1.00
howard-carter,5.30,1.10
jake-carter,3.40,1.00
jevon-carter,4.30,1.10
maurice-carter,4.20,0.40
reggie-carter,3.50,1.50
ron-carter,3.00,0.60
vince-carter,16.70,3.10
wendell-carter-jr,9.10,2.00
michael-carter-williams,10.20,4.30
dj-carton,0.80,0.80
bill-cartwright,13.20,1.40
jay-carty,2.70,0.40
alex-caruso,7.10,2.50
cornelius-cash,3.50,0.20
sam-cassell,15.70,6.00
omri-casspi,7.90,1.10
stephon-castle,14.70,4.10
colin-castleton,4.70,1.10
harvey-catchings,3.20,0.80
terry-catledge,12.70,0.90
sid-catlett,0.70,0.10
kelvin-cato,5.50,0.50
bobby-cattage,3.10,0.10
willie-cauley-stein,8.70,1.40
troy-caupain,2.50,1.00
duane-causwell,4.90,0.40
tyler-cavanaugh,3.80,0.60
ron-cavenall,1.40,0.30
ahmad-caver,2.00,0.00
malcolm-cazalon,0.00,0.00
cedric-ceballos,14.30,1.20
john-celestand,2.30,1.30
al-cervi,7.90,3.20
lionel-chalmers,3.10,1.40
mario-chalmers,8.90,3.70
bill-chamberlain,5.50,1.30
wilt-chamberlain,30.10,4.40
jerry-chambers,8.10,0.80
tom-chambers,18.10,2.10
julian-champagnie,9.90,1.40
justin-champagnie,8.80,1.00
mike-champion,0.00,0.00
kennedy-chandler,2.20,1.60
tyson-chandler,8.20,0.80
wilson-chandler,12.50,1.80
don-chaney,8.40,2.10
john-chaney,4.40,1.30
rex-chapman,14.60,2.70
len-chappell,9.50,0.70
ken-charles,8.50,2.50
lorenzo-charles,3.40,0.20
joe-chealey,0.80,0.40
calbert-cheaney,9.50,1.70
zylan-cheatham,2.40,0.60
maurice-cheeks,11.10,6.70
phil-chenier,17.20,3.00
will-cherry,1.90,1.00
derrick-chievous,7.10,0.70
pete-chilcutt,4.30,0.80
josh-childress,9.10,1.60
randolph-childress,2.40,1.00
chris-childs,6.90,4.90
chris-chiozza,3.30,2.40
leroy-chollet,2.90,0.80
ulrich-chomche,0.70,0.30
jim-chones,12.30,1.70
marquese-chriss,7.60,1.00
