PLAYER_NAME,TEAM_NAME,COUNTRY,POINT_PER_GAME,REBOUND_PER_GAME,ASSIST_PER_GAME
david-benoit,Utah Jazz,USA,7.0,4.0,0.6
keith-benson,Golden State Warriors,USA,0.0,1.0,0.0
kent-benson,Detroit Pistons,USA,9.1,5.7,1.8
ben-bentil,Dallas Mavericks,Ghana,0.0,0.7,0.0
gene-berce,Atlanta Hawks,USA,3.3,,0.7
gary-bergen,New York Knicks,USA,1.3,1.3,0.2
jules-bernard,Cleveland Cavaliers,USA,3.9,1.4,0.8
ricky-berry,Sacramento Kings,USA,11.0,3.1,1.3
walter-berry,San Antonio Spurs,USA,14.1,4.7,1.4
dairis-bertans,New Orleans Pelicans,Latvia,2.8,0.8,0.8
dāvis-bertāns,Charlotte Hornets,Latvia,7.7,2.4,0.9
del-beshore,Chicago Bulls,USA,3.5,0.9,2.0
travis-best,Indiana Pacers,USA,7.6,1.8,3.5
patrick-beverley,Milwaukee Bucks,USA,8.3,4.1,3.4
saddiq-bey,Washington Wizards,USA,14.1,5.2,1.8
tyler-bey,Houston Rockets,USA,1.0,1.1,0.2
sim-bhullar,Sacramento Kings,Canada,0.7,0.3,0.3
al-bianchi,Philadelphia 76ers,USA,8.1,2.5,2.2
hank-biasatti,Toronto Huskies,Canada,1.0,,0.0
henry-bibby,Philadelphia 76ers,USA,8.6,2.3,3.3
mike-bibby,Sacramento Kings,USA,14.7,3.1,5.5
ed-biedenbach,Phoenix Suns,USA,0.6,0.3,0.4
andris-biedrins,Golden State Warriors,Latvia,6.3,7.0,0.9
don-bielke,Detroit Pistons,USA,2.0,1.3,0.1
bob-bigelow,Sacramento Kings,USA,2.5,1.2,0.4
chauncey-billups,Detroit Pistons,USA,15.2,2.9,5.4
dave-bing,Detroit Pistons,USA,20.3,3.8,6.0
joe-binion,Portland Trail Blazers,USA,1.3,1.6,0.1
khem-birch,San Antonio Spurs,Canada,5.0,4.4,1.0
jabari-bird,Boston Celtics,USA,3.0,1.5,0.6
jerry-bird,New York Knicks,USA,2.3,1.1,0.4
larry-bird,Boston Celtics,USA,24.3,10.0,6.3
otis-birdsong,Brooklyn Nets,USA,18.0,3.0,3.2
gale-bishop,Golden State Warriors,USA,8.3,,1.6
goga-bitadze,Orlando Magic,Georgia,7.2,6.6,2.0
